context,slot,gold,pred,label
"i am looking for an expensive restaurant in the center of town .
there are 33 restaurant -s that meet your needs . would you like to narrow your search by type of food ?
i do not care about food . surprise me .
fitzbillies restaurant serves british food , it s located at 51 trumpington street city centre . would you like to hear about any others ? there are 33 results if british food is not your style .
that sounds fine . can you book it please and get me the reference number ?
sure , what day and time would you like and how many people ?
i would like a table for 5 at 11:30 on tuesday , and i will need the reference number . thanks .
okay , the booking was successful . the reference number is mqr72wdp . is there anything else i can help you with ?
i am also looking for a place to stay . it needs to include free wifi and parking , be 3 star , and in the same area as the restaurant .
the gonville hotel is a 3 star hotel in the centre area . it is in the expensive price range , and has free parking and wifi .
can i get the address of the gonville , please ?
absolutely , the address for the gonville hotel is gonville place . would you like me to book a reservation for you ?
no , but i will need a taxi between the hotel and the booked restaurant .
no problem ! i have booked you a cab that will take you to the restaurant by 11:30 . look for a yellow skoda taxi . the cab s contact number is 07208286486 .
great , thanks for all of your help .
you are welcome . is there anything else i can do for you today ?",taxi destination,fitzbillies restaurant,j restaurant,coreference
"hey , can you help me out ? i am looking for something to do . what kind of entertainment is out there in the center of town ?
there are no entertainment attractions in the centre of town . would you like to look in a different area ?",attraction area,centre,,miss
"looking for place -s to go in town that are theatres .
we have 5 theatres to choose from , is there a preferred area ?
no , i have no preference , which 1 do you recommend ?
the cambridge arts theatre is a good choice .
that sounds good . what area is it in ?
it is in the centre at 6 saint edward s passage .
i also need the postcode , if you will .
sure , the postcode is cb23pj . what else can i do for you today ?
i need a train as well .
i can help you with that , where will you be traveling from and to , and what day and time would you like to travel ?
i will be leaving from leicester going to cambridge on saturday .
there are a lot of choices on that day . is there a particular time you are looking for ?
i would like it to arrive by 10:15 please
i have 4 trains for you , depending on how early you want to leave . do you have a depart time ?
just the 1 closest to 10:15 is fine .
tr2969 arrives at 09:54 after a 105 minute trip . how many tickets would you like ?
i do not want to book right now but can i get the ticket price and departure time on tr2969 ?
the cost of the train ticket arriving in cambridge at 09:54 on saturday would be 30.24 pounds . is there anything else i may assist you with ?",attraction area,any,centre,search semantics
"are there any expensive hotel -s around ?
yes , there are 5 such hotel -s . do you have a location preference ?
i do not have a location preference .
i have the gonville hotel located in teh centre of town . it has a 3 star rating . would you like reservations ?
i would like an expensive hotel with a star of 4 . it should also have free parking and free wifi .
i have 2 hotel -s . the huntingdon marriott and university arms . both are 4 star rated . huntingdon is in the west , and university arms is in the centre .",hotel parking,yes,free,correct
"hi , i am trying to find a moderate place to eat in the east . can you help ?
i have found a place called curry prince that fits that . would you like me to place a reservation for you ?
actually i am more interested in middle eastern foods .
i have no listings for middle east food , another type maybe ?
i think then that indian place sounds nice , thank you .
can you tell me the day and time you would like to eat , and how many people i should book the table for ?
yes . i'll be needing a table for 8 on sunday at 12:15 .
booking was successful . the table will be reserved for 15 minutes . reference number is : apwdpyel .
thank you i will take it .
you are welcome . do you need anything else ?
i am actually also looking for a place to stay . i would like it to be 2 stars and have free wifi .
i have 3 hotel -s matching your request in the north and east and in the expensive and moderate price range . what part of town and price range would you prefer ?
if it narrows it down , can i also have free parking as well ?
i have 2 hotel -s in the moderate price range and 1 in the expensive price range . which would you like information on ?
i'll go with the expensive 1 . can you book me a room for 8 people , 2 nights on sunday please ?
booking was successful . reference number is : rr4tkjih . is there anything else i can assist you with ?
i'll also need a taxi from the hotel to the restaurant .
i would love to do that for you ! i just want to confirm you want to arrive at the restaurant at 12:15 , correct ?
yes , by 12:15 at the latest .",hotel parking,yes,any,any
"can you help me find information on the gonville hotel ?
that is a great 3 star hotel . it is expensive , but beautiful . what would you like to know ?
i want to book it for 5 nights
okay , what day would you like me to make the reservation for and for how many people ?
book it starting from friday and it will be for 4 people and i'll also need the reference number . we also need to find a place to eat .
thee booking was successful and your reference number is wzjw5hia .
something classy nearby for dinner , preferably italian or indian cuisine ?",restaurant food,"indian, italian","italian, indian",correct
"i am looking for place -s to go in the centre .
okay ! is there a particular type of place that you would like to visit ?
no , surprise me ! it should be in the centre .
how about king s college ? would you like more information ?
sure , could you tell me the entrance fee and phone number ?
entry is free and phone number is 01223331100 . anything else i can be of help ?
what is the attraction type ?
king s college is a college type attraction . what else can i do for you ?
i could really use some help finding info on a guest house to stay in . i would need free parking though .
sure . what area and what price range are you looking for .",attraction type,any,,miss
"i would like to find in cambridge , a restaurant , located in the centre area . i love spanish food .
i have la tasca downtown here at 1416 bridge street .
the restaurant should be in the expensive price range
i do not have any in the centre , another criteria perhaps ?
how about african food ?
i was able to find bedouin , would you like to try that ?
that would be great , could you just give me their number ?
the number is 01223367660 . is there anything else i can help you with ?
i also want to find an expensive place to stay with a star rating of 3 please .
with that criteria , i have 2 different options for you . both are hotel -s and offer free parking and wifi . 1 is in the centre of town and 1 is south .
i want 1 that is in the same area as bedouin , please .
the gonville hotel is in the centre which is the same area as bedouin . would you like me to book it for you ?
yes , please book that for 8 people starting friday for 3 nights .",restaurant food,african,spanish,value change
"i am looking for a museum in the east to visit .
we have 4 museums in the east area , i just went to the saint barnabas press gallery and they have new exhibits . would you like more information on them ?
sounds wonderful ! can you give me their postcode ?
their postcode is cb13ew . can i help you with anything else today ?
i am also looking for a restaurant in the east part of town in the moderate price range .",attraction name,saint barnabas press gallery,,bot miss
"i am trying to find a hotel in cambridge called the hamilton lodge .
there is 1 guest house called hamilton lodge that is located at 156 chesterton road . would you like to book there ?
yes . i would like to book for 5 nights starting tuesday with a total of 6 people . can i have the reference number ?
booking was successful ! your reference number is lndhtg39 . is there anything else i can help you with today ?
i am looking for the cotto restaurant .",restaurant book people,,6,domain
"are there any 1 star hotel -s with free parking ?
i am sorry , i cannot find any hotel -s that meet your criteria . would you like to search again ?
i am looking for a guest house with free parking , preferably 1 star .
sorry , i am not finding anything . want to change to a hotel ?
what about guest houses ?",hotel parking,yes,any,any
"hey , are there any interesting attractions in towncentre today ?",attraction type,,interesting,wrong value
"i am looking for information on a hotel called warkworth house .
i got it . may i get the day youd like to move in so i can book",hotel type,,hotel,correct
"i need to find out if there s a train going to stansted airport that leaves after 12:30 .
we have a train leaving on friday by 12:40 from cambridge to stansted airport but we need to know your departure point and date of departure to serve you better
yes i will be leaving on tuesday .
when would you like to arrive by ?
tuesday would be ideal for me .
the best fit for you from the search list is the 12:40 train leaving cambridge on tuesday to arrive stansted airport by 13:03 .
that works , may i please have the reference number ?
actually , it will arrive by 13:08 . does that work for you ?
yes . i need it for 8 people .
booking was successful . your reference number is 2qs7t2uc . do you need anything else ?
great i also need to stay at the university arms hotel
okay i can help with that ! what day would you like to check in and how long will you be staying ?",train arrive by,,13:38,hallucination
"can you help me find an expensive hotel in the south to stay at ? thanks .
yes , there is the lensfield hotel . it is located on 5357 lensfield road . their phone number is 01223355017 .
do they have a guest house available ?
no i am afraid there ae no expensive guest houses in the south .
how about 1 in the moderate price range ?
yes ! i have 2 you may choose from !
could you pick the better of the 2 and tell me the star rating ?
the ayesbray lodge guest house has a 4 star rating . would you like me to book a room ?
no , just get me their phone number and i'll give them a ring
the phone number for aylesbray lodge guest house is 01223240089 . is there anything else i can help you with ?
yes , please . i need a train for wednesday .",train departure,,aylesbray lodge guest,wrong value
"hello ! i need to take a train on monday , from kings lynn .
there area a number of departures on monday starting at 5:11 in the morning . was there a particular time of day you wanted to depart ?
any time after 13:15 would be fine .
tr2257 leaves at 14:11 . would you like to purchase a ticket ?
i just need the arrival time and price at this moment .
train tr2257 arrives by 14:58 and cost is 9.80 pounds .",train book people,,1,hallucination
